Gaia_eDR3_ID,teff,dteff,logg,dlogg,feh,dfeh,SNR_B,SNR_G,SNR_R,SNR_IR,A_Li,err_A_Li,Li_EW_significance,br_ref,err_br_ref,br_tar,err_br_tar,RV,RV_flag,RV_B,RV_V,RV_R,RV_IR,Gmag,Vmag,err_Vmag,plx,err_plx,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,MedianFlux,MedianSigma,teff_nc,dteff_nc,logg_nc,dlogg_nc,feh_nc,dfeh_nc,age_mp,age_ll1s,age_ul1s,age_ll2s,age_ul2s,age_mean,age_std,mass_mp,mass_ll1s,mass_ul1s,mass_ll2s,mass_ul2s,mass_mean,mass_std,logl_mp,logl_ll1s,logl_ul1s,logl_ll2s,logl_ul2s,logl_mean,logl_std,mv_mp,mv_ll1s,mv_ul1s,mv_ll2s,mv_ul2s,mv_mean,mv_std,r_mp,r_ll1s,r_ul1s,r_ll2s,r_ul2s,r_mean,r_std,P_ST,P_SA,P_ST_nc,P_SA_nc
6199226915969658624,5677.9,81.4,4.1993,0.0748,-0.18114,0.04331,14.1,19.4,28.2,17.4,1.09704,0.2913,0.77499,4.92071,0.0094,5.0436,0.12483,-4.07962,FFFF,-2.8171564032817815,-2.8451663836174754,-5.685737812523085,-2.827373452730876,17.12,17.278081647863733,0.002883,0.2146,0.07888545684648987,4838.909,3689.3098,6793.8467,3545.1846,2975.2046,4330.7744,1382.1,50.27,5603.4,74.9,4.0067,0.1432,-0.23009,0.04572,11.3,7.246,13.342,4.257,14.672,9.849,2.839,0.94,0.898,1.082,0.865,1.263,1.018,0.108,0.35,0.184,0.538,-0.005,0.712,0.366,0.178,3.83,3.43,4.335,3.023,4.815,3.956,0.447,1.49,1.262,1.917,1.032,2.372,1.658,0.343,0.004874719363413625,0.9764870295505975,2.181010977942102E-5,0.37426076455427343
6197755215358059136,5690.5,58.4,4.1238,0.0506,-0.28241,0.03158,15.3,25.6,33.6,27.2,1.51396,0.1728,3.45134,4.99242,0.00948,5.37662,0.09785,-127.03199,FFFT,-61.977440872199196,-62.593660439584454,-62.54311593775393,-61.977440872199196,17.13,17.284614108426123,0.002917,0.3073,0.09550893593871881,3148.911,2401.787,4435.1665,3123.3438,2577.1873,4024.2202,1700.9,52.65,5593.3,53.7,3.8482,0.0968,-0.34608,0.03253,6.3,4.398,9.278,3.116,12.23,7.101,2.392,1.08,0.992,1.217,0.922,1.363,1.112,0.113,0.54,0.414,0.68,0.291,0.81,0.553,0.131,3.51,3.166,3.837,2.835,4.153,3.497,0.329,1.97,1.714,2.313,1.496,2.698,2.042,0.305,2.9944381582883667E-11,0.6945801553642481,4.287693637511417E-20,0.0021018679131770365
6197527345870378880,5599.4,66.8,4.2796,0.0635,-0.36294,0.03709,15.0,26.1,34.9,30.3,1.00186,0.26328,0.83827,4.84502,0.01028,5.36585,0.09967,-16.83261,FFFF,-16.902938419690688,-17.07099830170485,-17.057213437569253,-16.964240716385255,17.13,17.279548070235126,0.002898,0.4665,0.08165158736049151,2119.9773,1841.9442,2623.652,2310.444,1971.7686,2775.0317,1943.2,57.0,5570.6,61.4,4.1509,0.1214,-0.38316,0.03748,14.5,11.831,14.879,8.226,15.066,12.693,1.979,0.88,0.848,0.942,0.816,1.04,0.905,0.057,0.22,0.007,0.35,-0.16,0.499,0.204,0.165,4.29,3.978,4.793,3.607,5.266,4.371,0.411,1.43,1.112,1.642,0.909,1.938,1.376,0.259,7.684454327991456E-14,0.04745250078604041,2.7189214137713817E-16,0.011449792173837754
6005396107055463040,5626.9,61.7,4.362,0.0529,-0.4052,0.03653,15.3,27.4,35.4,33.2,1.32009,0.20187,1.90019,4.77009,0.01138,6.24416,0.11255,-44.56336,FFFF,-42.257346049226726,-42.677495754262125,-45.48590250018468,-45.23797524369402,17.13,17.291929297604927,0.002917,0.3136,0.08166879442676367,3097.4841,2496.8716,3906.2434,2976.817,2550.5227,3961.2642,1973.1,57.42,5624.0,56.8,4.2822,0.1013,-0.41109,0.03655,14.4,11.848,14.835,7.43,15.058,12.617,2.179,0.85,0.828,0.88,0.806,0.918,0.858,0.028,-0.06,-0.137,0.114,-0.211,0.257,0.007,0.124,5.0,4.562,5.208,4.213,5.405,4.855,0.314,1.0,0.916,1.206,0.842,1.427,1.069,0.155,8.537993794725047E-18,0.002246090062416256,1.292773930682828E-18,0.0013380595270310448
6005470152290728960,5482.3,87.5,4.1758,0.0905,-0.10859,0.04355,12.1,20.0,19.0,18.3,0.47711,0.61835,0.24904,5.00096,0.00938,5.69239,0.10289,-79.86218,FFFF,-78.88037929188988,-79.66465874128932,-79.60032937532318,-81.9938301291954,17.13,17.282037885722552,0.00294,0.2564,0.09902672220304062,4131.416,2769.8296,5736.2944,3228.3733,2603.5437,4017.2012,946.8,51.43,5429.9,80.4,4.0531,0.1732,-0.13462,0.04681,14.5,9.075,14.877,4.662,15.066,10.734,3.087,0.92,0.877,1.061,0.837,1.266,1.001,0.115,0.28,0.068,0.477,-0.217,0.665,0.294,0.213,4.34,3.776,5.022,3.268,5.504,4.166,0.534,1.53,1.12,1.937,0.883,2.403,1.631,0.391,0.0015809062574106637,0.5182560616292602,4.369784982611699E-5,0.16401506305434818
6197746178743190144,5862.2,110.5,4.2347,0.0933,-0.24954,0.05873,17.4,30.5,37.4,33.2,1.5795,0.20728,2.01337,4.80526,0.01064,4.61671,0.10024,-62.43964,FFFT,-78.88037929188988,-79.66465874128932,-79.60032937532318,-78.88037929188988,17.13,17.286009152638172,0.002907,0.225,0.08913008795735047,5112.422,3568.2366,7517.716,3639.6086,2920.4504,4446.4316,1958.4,53.8,5774.7,101.6,3.9879,0.1785,-0.31402,0.06098,8.8,5.618,11.357,3.236,13.686,8.364,2.705,0.96,0.907,1.121,0.864,1.337,1.045,0.127,0.38,0.172,0.622,-0.025,0.842,0.41,0.22,3.79,3.233,4.366,2.698,4.882,3.826,0.552,1.54,1.218,2.042,0.983,2.624,1.667,0.428,0.001329735519739826,0.7752402389614599,1.2474019818711054E-5,0.16256604663420982
6197720202784868736,5795.1,83.8,4.2316,0.0712,0.08813,0.04204,17.5,22.8,30.8,19.8,1.47084,0.21253,1.4953,5.02252,0.00919,5.20881,0.09662,15.9086,FFFF,16.902938419690688,17.07099830170485,14.214344531307711,14.13686726365438,17.13,17.280421928412217,0.002883,0.294,0.08525445839106319,3596.5542,2648.8813,5522.7104,2929.655,2500.2654,3829.5923,1566.6,52.22,5727.6,77.0,4.0742,0.1361,0.05134,0.04753,7.8,5.997,9.352,4.186,10.952,7.62,1.687,1.04,0.995,1.142,0.954,1.284,1.086,0.085,0.33,0.167,0.509,0.023,0.687,0.344,0.169,3.94,3.529,4.388,3.081,4.758,3.979,0.424,1.44,1.222,1.803,1.049,2.225,1.546,0.305,0.2123575430792685,0.9962321294805494,0.07065489413919074,0.6046204114304918
6005494478986368000,5515.0,56.0,4.0557,0.0459,-0.60492,0.03402,14.6,25.1,27.7,27.5,0.60763,0.3894,0.44559,4.9001,0.01034,5.53338,0.12392,-10.69392,FFFF,-11.268625613127126,-8.535499150852425,-11.37147562504617,-11.309493810923504,17.13,17.271019110362214,0.002925,0.3384,0.08690516096824533,3137.9917,2436.004,3966.3425,3149.3403,2556.609,3675.5195,1512.2,55.77,5457.1,51.5,3.7457,0.0879,-0.63128,0.03252,6.7,4.555,9.951,3.104,13.219,7.504,2.628,1.0,0.923,1.144,0.864,1.301,1.055,0.113,0.66,0.486,0.763,0.365,0.857,0.595,0.127,3.31,3.024,3.718,2.775,4.009,3.428,0.322,2.59,2.014,2.831,1.735,3.135,2.25,0.329,4.096567460113826E-57,1.1736790978390982E-19,5.3705229801721096E-73,3.0747088245710742E-28
6197753497371421056,5532.1,78.4,4.2756,0.0765,-0.07254,0.04058,12.4,23.0,30.9,25.3,0.68823,0.37088,0.2367,4.95179,0.00973,5.53893,0.103,-45.2523,FFFF,-45.074502452508504,-45.52266213787961,-45.48590250018468,-45.074502452508504,17.14,17.292589536035255,0.002936,0.2083,0.10059399935707199,4380.3213,3223.069,5822.113,3520.188,2800.5923,4307.685,1553.3,51.96,5507.8,72.1,4.2217,0.1463,-0.08194,0.04401,13.1,9.846,14.305,4.818,14.942,11.503,2.679,0.91,0.88,0.96,0.853,1.071,0.927,0.055,-0.05,-0.152,0.205,-0.234,0.418,0.064,0.176,5.0,4.367,5.268,3.822,5.485,4.724,0.442,0.99,0.91,1.36,0.85,1.763,1.208,0.256,0.019447853548475204,0.7832538145950412,0.003466148287814027,0.6245691977949516
6197558200915669888,5805.2,98.4,4.2763,0.0858,-0.18484,0.05191,15.7,28.0,38.0,32.8,1.08072,0.28637,-0.73439,4.89713,0.01029,5.20254,0.09423,-1.56458,FFFF,0.0,0.0,-2.8428689062615424,-2.827373452730876,17.14,17.285198991394104,0.002887,0.2201,0.08240976505192416,4508.0596,3207.211,6706.153,3604.4744,3010.9216,4406.9893,2156.9,58.09,5737.6,90.5,4.096,0.1642,-0.23472,0.05475,9.7,6.989,11.768,4.087,13.755,9.222,2.402,0.95,0.908,1.058,0.871,1.226,1.001,0.093,0.28,0.076,0.491,-0.078,0.703,0.286,0.2,4.3,3.691,4.73,3.124,5.078,4.139,0.502,1.31,1.08,1.73,0.93,2.242,1.452,0.343,0.02318154860777046,0.9815168418751945,9.523501956873834E-4,0.5661011350322068
